Timestamp (millisec since midnight today),Test time,pwm_duty_limb0_fwd,pwm_duty_limb0_rev,pwm_duty_limb1_fwd,pwm_duty_limb1_rev,unconstrained_pwm_duty_lim0_fwd,unconstrained_pwm_duty_lim0_rev,unconstrained_pwm_duty_lim1_fwd,unconstrained_pwm_duty_lim1_rev,u_setpoint_limb0,u_setpoint_limb1,temp_limit,Bendlabs_0,Bendlabs_1,MCPtemp_0,MCPtemp_1,MCPtemp_2,MCPtemp_3,tagid_x_101,tagid_y_101,tagid_x_102,tagid_y_102,tagid_x_103,tagid_y_103,tagid_x_104,tagid_y_104,tagid_x_105,tagid_y_105,tagid_x_106,tagid_y_106,tagid_x_107,tagid_y_107,tagid_x_108,tagid_y_108,tagid_x_109,tagid_y_109
62574695,6.402,0,0,0.35,0,0,0,0.35,0,0,0.35,115,0,0,30.63,49,33.63,30.25,33.6118156869939,54.1123890438313,109.272137352691,70.9445597734092,165.566216247222,102.165777192077,213.433940419244,145.308835856863,261.470696087575,200.927219505348,309.601455885171,261.357902835775,350.301893852427,312.520060285698,381.292778891593,358.077173734943,415.027085279449,406.291673880027
62574896,6.602,0,0,0.35,0,0,0,0.35,0,0,0.35,115,0,0,30.31,51.56,33.69,30.25,33.6847376404239,54.1803800131527,109.228201868402,70.9932925107849,165.767931412432,102.173685991568,213.833661029454,145.003885618742,262.31075256994,200.288629463707,310.794470696092,260.301685065871,351.508145774073,311.365577968908,382.235765366365,357.01794639709,415.726544148045,405.376277289129
62575095,6.803,0,0,0.35,0,0,0,0.35,0,0,0.35,115,0,0,30.31,51.56,33.69,30.25,33.600613983462,54.1569863202775,109.255716832964,70.7941887481219,165.939745827041,101.809438469916,214.463392744759,144.391277947839,263.32245546034,199.242440647788,312.263295011664,258.89487658672,352.790069309843,310.099411209524,382.98050172015,356.188566883628,415.287374428654,405.14370856618
62575296,7.004,0,0,0.25,0,0,0,0.25,0,0,0.25,115,0,0,30.31,51.56,33.69,30.25,33.6091468990387,54.1262682134505,109.16381825632,70.8214191313307,166.069706479559,101.638549253318,214.845217626555,143.928788613355,264.193653139205,198.407169474886,313.463067712545,257.730735215406,353.823018888871,308.962290111036,383.398921916823,355.377507131818,414.850247860025,404.934145706712
62575495,7.206,0,0,0.25,0,0,0,0.25,0,0,0.25,115,0,0,30.44,52.19,39.13,30.25,33.6394245390725,54.1835764586852,109.318013079533,70.8627865076538,166.274622339079,101.364310781497,215.291591306204,143.514877947912,264.846290786793,197.503059036475,314.705721187109,256.428306857776,354.893265915423,307.785563308483,383.758596585118,354.51427358928,414.103601187865,404.811581136205
62575695,7.404,0,0,0.25,0,0,0,0.25,0,0,0.25,115,0,0,30.44,52.19,39.13,30.25,33.6857462349618,54.2289849711972,109.36191816418,70.8142201652517,166.420379197652,101.319191054342,215.701750874027,143.060113040167,265.618916734781,196.837603441386,315.71425968892,255.248009128894,355.692077050737,306.744265912679,383.885937644387,354.070341006775,412.941580027959,404.896634103709
62575895,7.605,0,0,0.25,0,0,0,0.25,0,0,0.25,115,0,0,30.38,53.63,42.31,30.19,33.7480721588206,54.1699835391422,109.546324459371,70.8160563393129,166.542046625059,101.13708290003,216.056826461994,142.665364696908,266.466729981625,196.020337385639,316.904030767974,254.116909488717,356.535095789577,305.765024322275,383.971791929299,353.398434962607,411.893837080008,404.942675074375
62576099,7.803,0,0,0.25,0,0,0,0.25,0,0,0.25,115,0,0,30.38,53.63,42.31,30.19,33.7474227466283,54.2145306980886,109.582950345119,70.8250657386689,166.661734134699,100.95080850063,216.425179758329,142.233458124977,267.155124318747,195.249772247384,317.885461058134,252.936171944498,357.270856244492,304.805263777863,384.069463227502,352.768948075956,410.697077198507,404.996338482546
62576299,8.006,0,0,0.2,0,0,0,0.2,0,0,0.2,115,0,0,30.38,53.63,42.31,30.19,33.7642616962389,54.1689232674049,109.529905025274,70.7842114598042,166.828952298293,100.742572905404,216.733446038782,141.773805947849,267.756185208499,194.577971206875,318.848563090935,251.931116440354,358.027529431603,303.774254585851,384.385732631777,351.983270926413,410.12055991478,404.800122018554
62576499,8.206,0,0,0.2,0,0,0,0.2,0,0,0.2,115,0,0,30.31,54.38,50.94,30.13,33.7471347448103,54.140229892347,109.56305759508,70.6599745587958,166.877613646405,100.546703646203,217.054484755853,141.206806098589,268.435937774105,193.768508263695,319.717728023045,250.870144594356,358.940649502245,302.836703084459,384.829166205734,351.274651011611,409.926574762949,404.398398511611
62576699,8.407,0,0,0.2,0,0,0,0.2,0,0,0.2,115,0,0,30.31,54.38,50.94,30.13,33.7452645325785,54.1585215452783,109.560809797188,70.6737922855948,166.895166543449,100.423996628208,217.222499373542,141.019249577505,268.890162257525,193.266826494113,320.448317243451,250.075863376445,359.676348810699,302.08000741232,385.085842844022,350.855156654387,409.529214197232,404.14102602547
62576899,8.607,0,0,0.2,0,0,0,0.2,0,0,0.2,115,0,0,30.25,54.5,57.94,30.06,33.6687051143741,54.0899488060898,109.49533380495,70.67564784038,166.981668455318,100.246075027101,217.528183264232,140.608824553899,269.452378412634,192.652263692045,321.266048420875,249.168103804183,360.388416343087,301.21525893197,385.541438136408,350.082013321275,409.404972264042,403.782613784843
62577100,8.807,0,0,0.2,0,0,0,0.2,0,0,0.2,115,0,0,30.25,54.5,57.94,30.06,33.6184321587272,54.1027107604539,109.530121647517,70.6277208367497,167.070877926031,100.08302188169,217.731496629572,140.294027515096,269.870396393138,192.151695025247,322.030177101926,248.481084948268,361.037269423953,300.581753252572,385.828206004822,349.637215392814,408.991099547718,403.61014771129
